compr	precf	precb	qimp	qexp	        tmed	        efe	inds	precc
0,15646	0,94961	1,26195	7849557	23326048	21,08333	4404480	0,62496	1,32590
0,16659	0,99830	1,49026	5955497	39891553	20,91667	4532654	0,66679	1,39370
0,18774	1,01100	1,68442	4567954	56457058	21,16667	4558963	0,68534	1,41130
0,16293	1,00932	1,59525	642579	73022563	20,83333	4704545	0,69441	1,40880
0,11858	0,68981	1,26065	386251	75407959	20,25000	4814297	0,48166	0,96270
0,12656	0,73564	1,48443	16990	115815664	20,33333	5093888	0,52132	1,02660
0,11347	0,61427	1,22607	36064	246530940	21,41667	5516818	0,44180	0,85710
0,11158	0,52829	1,11279	13110	448404538	21,58333	5354113	0,38563	0,73710
0,12310	0,69381	1,25853	8500	457227710	21,08333	5432143	0,40054	0,75430
0,14436	0,66724	1,39302	10313	470150063	20,83333	5775890	0,45672	0,84730
0,15298	0,85802	1,52836	10214	578591385	21,71429	6309041	0,59932	1,09550
0,16062	0,85092	1,64742	9579	483631459	21,33333	7158596	0,72702	1,30920
0,23049	1,21026	2,12279	14724	551512195	21,16667	7156013	0,88453	1,56930
0,28923	1,44536	3,13776	6345	465061089	20,83333	7846398	1,02574	1,79290
0,24014	1,30750	2,68484	2331	527857344	20,58333	7988663	1,02140	1,75890
0,25631	1,47443	3,42387	3993	463256394	21,16667	7817536	1,34091	2,14310
0,35101	1,68862	4,14775	1369	435214805	20,91667	7968116	1,36527	2,42160
0,34786	1,54359	3,30987	26148	498420511	21,83333	7480183	1,21538	2,22360
0,29721	1,60417	3,23519	51009	439646149	20,45833	6270797	1,33333	2,44950
0,27101	1,44894	3,65880	30214	417998170	21,75000	6178702	1,47660	2,64670
0,20439	1,09309	2,97315	22998	472577703	22,00000	6533948	0,98198	1,74720
0,26037	1,16810	2,99134	45433	628654735	20,92708	7099184	0,93391	1,70600
0,21520	1,15517	2,96256	138872	592613684	21,75000	8098231	1,10972	2,01670
0,23063	1,05342	2,70298	1656	550374748	21,25000	7972807	0,84384	1,51720
0,21412	1,18528	2,81109	70441	656992432	21,91667	7590827	1,05076	1,81880
0,24496	0,99225	2,98430	139226	901102032	21,16667	7805614	1,15116	1,84020
0,35173	1,32222	3,85765	638389	1015175194	21,00000	8416995	1,19074	1,88310
0,37801	1,46705	4,19237	228287	1013656780	20,45833	9825467	1,12403	1,85870
0,29741	1,36000	3,46800	15634	1088080480	21,22917	9316166	1,24400	1,98810
0,25248	1,36287	3,21653	431	1085973626	21,51389	9186209	1,33769	2,03730
