efe	        cus	ind	mil	soj	boi	fra	vimp	        qimp	        vexp	        qexp	        tmed
36062103.0000	0.7165	0.6250	0.1285	0.2217	1.2620	0.9496	15322754.0000	7849557.0000	128983418.0000	23326048.0000	21.0833
29202182.0000	0.7623	0.6668	0.1368	0.2360	1.4903	0.9983	11587139.0000	5955497.0000	135304793.0000	39891553.0000	20.9167
29637109.0000	0.7814	0.6853	0.1404	0.2983	1.6844	1.0110	8787291.0000	4567954.0000	141626168.0000	56457058.0000	21.1667
30006946.0000	0.7895	0.6944	0.1419	0.2119	1.5953	1.0093	668835.0000	642579.0000	147947543.0000	73022563.0000	20.8333
30838616.0000	0.5461	0.4817	0.0982	0.1660	1.2607	0.6898	365453.0000	386251.0000	114741901.0000	75407959.0000	20.2500
31562111.0000	0.5894	0.5213	0.1061	0.1742	1.4844	0.7356	76912.0000	16990.0000	162494398.0000	115815664.0000	20.3333
32605112.0000	0.4981	0.4418	0.0898	0.1688	1.2261	0.6143	99206.0000	36064.0000	345167012.0000	246530940.0000	21.4167
31918749.0000	0.4335	0.3856	0.0782	0.1895	1.1128	0.5283	62504.0000	13110.0000	468602576.0000	448404538.0000	21.5833
32304905.0000	0.4490	0.4005	0.0811	0.2212	1.2585	0.6938	46217.0000	8500.0000	525659595.0000	457227710.0000	21.0833
33085299.0000	0.5106	0.4567	0.1032	0.2404	1.3930	0.6672	49782.0000	10313.0000	742973806.0000	470150063.0000	20.8333
34063934.0000	0.8325	0.5993	0.1263	0.2153	1.5284	0.8580	48233.0000	10214.0000	1121630753.0000	578591385.0000	21.7143
35173824.0000	0.6839	0.7270	0.1367	0.2164	1.6474	0.8509	75709.0000	9579.0000	988779363.0000	483631459.0000	21.3333
35945015.0000	1.0021	0.8845	0.2023	0.2962	2.1228	1.2103	159775.0000	14724.0000	1160466525.0000	551512195.0000	21.1667
36819017.0000	1.2678	1.0257	0.2327	0.4211	3.1378	1.4454	88445.0000	6345.0000	1357924110.0000	465061089.0000	20.8333
38045454.0000	1.1240	1.0214	0.1752	0.3918	2.6848	1.3075	42923.0000	2331.0000	1109880339.0000	527857344.0000	20.5833
38956758.0000	1.1858	1.3409	0.2037	0.3791	3.4239	1.4744	91477.0000	3993.0000	1225039837.0000	463256394.0000	21.1667
39307336.0000	1.4437	1.3653	0.3026	0.4640	4.1478	1.6886	35982.0000	1369.0000	1283161765.0000	435214805.0000	20.9167
38795902.0000	1.4477	1.2154	0.2548	0.5650	3.3099	1.5436	96302.0000	26148.0000	1345624150.0000	498420511.0000	21.8333
36743593.0000	1.3333	1.3333	0.2083	0.5048	3.2352	1.6042	205122.0000	51009.0000	1226862244.0000	439646149.0000	20.4583
37930307.0000	1.2694	1.4766	0.1906	0.4587	3.6588	1.4489	185162.0000	30214.0000	1444435725.0000	417998170.0000	21.7500
39795222.0000	1.0013	0.9820	0.1454	0.3420	2.9732	1.0931	108092.0000	22998.0000	1167991578.0000	472577703.0000	22.0000
40053184.0000	1.1580	0.9339	0.2130	0.3708	2.9913	1.1681	72731.0000	45433.0000	1349499695.0000	628654735.0000	20.9271
41383029.0000	1.0533	1.1097	0.1592	0.3459	2.9626	1.1552	335302.0000	138872.0000	1465031260.0000	592613684.0000	21.7500
41231856.0000	1.0767	0.8438	0.1758	0.3587	2.7030	1.0534	35937.0000	1656.0000	1070473051.0000	550374748.0000	21.2500
40556109.0000	0.9873	1.0508	0.1667	0.3248	2.8111	1.1853	232481.0000	70441.0000	1487671650.0000	656992432.0000	21.9167
41211188.0000	0.9942	1.1512	0.1896	0.3742	2.9843	0.9922	429025.0000	139226.0000	2120463942.0000	901102032.0000	21.1667
42550892.0000	1.2815	1.1907	0.2834	0.5111	3.8576	1.3222	1470897.0000	638389.0000	2474531476.0000	1015175194.0000	21.0000
44388351.0000	1.4864	1.1240	0.2848	0.5956	4.1924	1.4671	971453.0000	228287.0000	2406883085.0000	1013656780.0000	20.4583
42997536.0000	1.2420	1.2440	0.2200	0.4780	3.4680	1.3600	485046.0000	15634.0000	2630911039.0000	1088080480.0000	21.2292
42786992.0000	1.2935	1.3377	0.1906	0.3968	3.2165	1.3629	11676.0000	431.0000	2591887565.0000	1085973626.0000	21.5139
