efe	cus	        ind	        pc	        pm	        ps	        pb	        pf	        vi	        qi	ve	        qe	        tm
4404480	0.931463	0.718699	1.325900	0.154203	0.266018	1.800859	1.234496	10892802	6349941	128983418	23326048	21.083333
4532654	0.991038	0.766811	1.393700	0.164197	0.283231	1.713795	1.297787	10428425	5359947	135304793	39891553	20.916667
4558963	1.015763	0.788145	1.411300	0.168428	0.298302	1.684419	1.314297	8787291	        4567954	141626168	56457058	21.166667
4704545	1.026321	0.798570	1.408800	0.170315	0.211925	1.595250	1.312118	668835	        642579	147947543	73022563	20.833333
4814297	0.709897	0.553912	0.962700	0.117899	0.166026	1.260654	0.896754	365453	        386251	114741901	75407959	20.250000
5093888	0.766198	0.599519	1.026600	0.127351	0.174226	1.484428	0.956329	76912	        16990	162494398	115815664	20.333333
5516818	0.647514	0.508074	0.857100	0.107711	0.168794	1.226070	0.798554	99206	        36064	345167012	246530940	21.416667
5354113	0.563605	0.443475	0.737100	0.093828	0.189477	1.112793	0.686781	62504	        13110	468602576	448404538	21.583333
5432143	0.583753	0.460616	0.754300	0.097260	0.221227	1.258534	0.693811	46217	        8500	525659595	457227710	21.083333
5775890	0.663782	0.525232	0.847300	0.103185	0.240444	1.393025	0.667235	49782	        10313	742973806	470150063	20.833333
6309041	0.832510	0.689214	1.095500	0.126269	0.215295	1.528361	0.858025	48233	        10214	1121630753	578591385	21.714286
7158596	0.683945	0.836075	1.309200	0.136697	0.216437	1.647416	0.850917	75709	        9579	988779363	483631459	21.333333
7156013	1.002051	1.017205	1.569300	0.202308	0.296239	2.122786	1.210256	159775	        14724	1160466525	551512195	21.166667
7846398	1.267760	1.179596	1.792900	0.232696	0.421129	3.137761	1.445355	88445	        6345    1357924110	465061089	20.833333
7988663	1.124000	1.174615	1.758900	0.175167	0.391750	2.684845	1.307500	42923	        2331	1109880339	527857344	20.583333
7817536	1.185795	1.340909	2.143100	0.203693	0.379072	3.423868	1.474432	91477	        3993	1225039837	463256394	21.166667
7968116	1.443713	1.365269	2.421600	0.302595	0.463972	4.147750	1.688623	35982	        1369	1283161765	435214805	20.916667
7480183	1.447692	1.215385	2.223600	0.254786	0.565043	3.309871	1.543590	96302	        26148	1345624150	498420511	21.833333
6270797	1.333333	1.333333	2.449500	0.208256	0.504784	3.235193	1.604167	205122	        51009	1226862244	439646149	20.458333
6178702	1.269362	1.476596	2.646700	0.190567	0.458723	3.658798	1.448936	185162	        30214	1444435725	417998170	21.750000
6533948	1.001301	0.981982	1.747200	0.145395	0.342042	2.973153	1.093093	108092	        22998	1167991578	472577703	22.000000
7099184	1.158046	0.933908	1.706000	0.213027	0.370833	2.991339	1.168103	72731	        45433	1349499695	628654735	20.927083
8098231	1.053292	1.109718	2.016700	0.159195	0.345873	2.962562	1.155172	335302	        138872	1465031260	592613684	21.750000
7972807	1.076712	0.843836	1.517200	0.175753	0.358676	2.702980	1.053425	35937	        1656	1070473051	550374748	21.250000
7590827	0.987310	1.050761	1.818800	0.166667	0.324831	2.811093	1.185279	232481	        70441	1487671650	656992432	21.916667
7805614	0.994186	1.151163	1.840200	0.189567	0.374225	2.984296	0.992248	429025	        139226	2120463942	901102032	21.166667
8416995	1.281481	1.190741	1.883100	0.283426	0.511111	3.857646	1.322222	1470897	        638389	2474531476	1015175194	21.000000
9825467	1.486434	1.124031	1.858700	0.284755	0.595607	4.192369	1.467054	542085	        212428	2406883085	1013656780	20.458333
9316166	1.242000	1.244000	1.988100	0.220033	0.477967	3.468001	1.360000	542085	        212428	2630911039	1088080480	21.229167
9186209	1.293532	1.337687	2.037300	0.190609	0.396828	3.216531	1.362873	542085	        212428	2591887565	1085973626	21.513889
