CTP,PC,ISV,MIL,SOJ,PBG,PFC
"0,6350","1,2366","0,5743","0,1183","0,2041","1,5553","0,8856"
"0,6889","1,3259","0,6250","0,1285","0,2217","1,6982","0,9496"
"0,7473","1,4216","0,6801","0,1396","0,2407","1,8542","1,0183"
"0,8107","1,5242","0,7402","0,1516","0,3222","1,7813","1,0919"
"0,8794","1,6342","0,8055","0,1646","0,2458","1,8120","1,1708"
"0,9540","1,7522","0,8766","0,1788","0,3022","2,2467","1,2555"
"1,0349","1,8787","0,9540","0,1942","0,3188","2,6600","1,3462"
"1,1227","2,0143","1,0382","0,2109","0,3967","2,8213","1,4435"
"1,2179","2,1597","1,1299","0,2291","0,5552","3,1927","1,5479"
"1,3211","2,3156","1,2296","0,2488","0,6792","3,7833","2,1300"
"1,4332","2,4827","1,3382","0,3023","0,7045","3,9967","1,9550"
"2,1900","2,6619","1,4563","0,3068","0,5232","3,6367","2,0850"
"1,6100","2,8541","1,5849","0,2980","0,4718","3,5167","1,8550"
"1,7900","3,0601","1,7248","0,3945","0,5777","4,0533","2,3600"
"2,2700","3,2810","1,8771","0,4258","0,7707","5,6227","2,6450"
"2,2500","3,5179","2,0428","0,3503","0,7835","5,2580","2,6150"
"2,0900","3,7718","2,3600","0,3585","0,6672","5,9007","2,5950"
"2,4100","4,0441","2,2800","0,5053","0,7748","6,7827","2,8200"
"2,8200","4,3360","2,3700","0,4968","1,1018","6,3200","3,0100"
"2,8800","5,2909","2,8800","0,4498","1,0903","6,8427","3,4650"
"2,9800","6,2197","3,4700","0,4478","1,0780","8,4193","3,4050"
"3,5050","5,8181","3,2700","0,4842","1,1390","9,6947","3,6400"
"4,0300","5,9370","3,2500","0,7413","1,2905","10,1933","4,0650"
"3,3600","6,4333","3,5400","0,5078","1,1033","9,2540","3,6850"
"3,9300","5,5378","3,0800","0,6415","1,3092","9,6607","3,8450"
"3,8900","7,1662","4,1400","0,6567","1,2798","10,8453","4,6700"
"5,1300","9,4955","5,9400","0,9782","1,9310","15,0787","5,1200"
"6,9200","10,1686","6,4300","1,5305","2,7600","20,3980","7,1400"
"7,6700","9,5910","5,8000","1,4693","3,0733","21,1827","7,5700"
"6,2100","9,9404","6,2200","1,1002","2,3898","16,9793","6,8000"
"7,3002","10,8181","6,8200","1,0217","2,1270","16,0260","7,3050"
