   Ração  BoiGordo  Leite  CarneSuina
0    1.09     295.0   1.45        8.27
1    1.14     297.0   1.52        8.28
2    1.15     302.0   1.53        8.37
3    1.16     306.0   1.56        8.56
4    1.16     307.0   1.58        8.75
5    1.18     315.0   1.61        8.77
6    1.20     314.0   1.62        8.95
7    1.25     315.0   1.64        9.09
8    1.26     317.0   1.63        9.10
9    1.28     324.0   1.67        9.32
10   1.28     329.0   1.68        9.37
11   1.33     331.0   1.69        9.54
12   1.34     340.0   1.79        9.66
13   1.35     341.0   1.80        9.76
14   1.36     344.0   1.80        9.79
15   1.38     350.0   1.82       10.06
16   1.41     350.0   1.84       10.07
17   1.43     357.0   1.86       10.17
18   1.45     361.0   1.89       10.26
19   1.42     370.0   1.91       10.49
20   1.50     371.0   1.93       10.61
21   1.50     372.0   1.93       10.62
22   1.52     373.0   1.94       10.83
23   1.55     385.0   1.96       10.89
24   1.57     388.0   1.97       11.09
25   1.60     392.0   2.00       11.12
26   1.61     393.0   2.02       11.34
27   1.63     396.0   2.06       11.40
28   1.65     400.0   2.09       11.59
29   1.68     402.0   2.09       11.63
30   1.69     413.0   2.10       11.75
31   1.69     415.0   2.10       11.82
32   1.71     416.0   2.12       12.11
33   1.76     417.0   2.16       12.21
34   1.78     423.0   2.20       12.22
35   1.80     428.0   2.24       12.41
36   1.80     436.0   2.24       12.56
37   1.81     439.0   2.26       12.63
38   1.85     445.0   2.28       12.74
39   1.86     445.0   2.31       12.80
40   1.87     445.0   2.34       12.89
41   1.90     455.0   2.36       13.17
42   1.91     460.0   2.36       13.29
43   1.95     462.0   2.36       13.36
44   1.96     468.0   2.37       13.42
45   1.99     469.0   2.38       13.54
46   1.98     470.0   2.43       13.74
47   2.02     476.0   2.45       13.89
48   2.04     476.0   2.46       14.01
49   2.05     481.0   2.48       14.11
